heldout_site,latent_dim,mean_site_balanced_val_mse,se_site_balanced_val_mse,mean_I0002_record_balanced_mse,mean_I0006_record_balanced_mse,mean_S0001_record_balanced_mse,mean_overall_r2,best_d,one_se_threshold,selected
I0002,4,0.09814741313490077,0.007845120818786895,,0.0953473500828756,0.10094747618692597,0.9033305436858754,16,0.00589408840685764,False
I0002,8,0.030920020886348765,0.0019649108474996397,,0.029616023217105453,0.03222401855559207,0.9692897354861426,16,0.00589408840685764,False
I0002,12,0.00991477552893498,0.0006220885048459286,,0.01005847056458154,0.009771080493288418,0.9905078882902454,16,0.00589408840685764,False
I0002,16,0.0051684208851982645,0.000725667521659376,,0.005203269301447617,0.005133572468948911,0.9950228025779961,16,0.00589408840685764,True
I0006,4,0.09110977422598061,0.00354287600422819,0.08816120513138576,,0.09405834332057546,0.9047778980903308,16,0.007886433986475015,False
I0006,8,0.026674556784603492,0.0006549236572980794,0.026063274128189786,,0.0272858394410172,0.9723548031961768,16,0.007886433986475015,False
I0006,12,0.008619881345328009,0.0006229273444370684,0.008592454265641125,,0.008647308425014894,0.9912229128471687,16,0.007886433986475015,False
I0006,16,0.006339353170935776,0.0015470808155392383,0.006380922232902823,,0.00629778410896873,0.9936021008318555,16,0.007886433986475015,True
S0001,4,0.0936028561230199,0.0030086888651329195,0.09353600108158484,0.09366971116445498,,0.8903769163787207,16,0.005139927634099383,False
S0001,8,0.03276786435876064,0.004958889724602685,0.03263669736301987,0.0328990313545014,,0.9615529986608436,16,0.005139927634099383,False
S0001,12,0.008516432967646283,0.00040624682652319686,0.008556613618881824,0.008476252316410743,,0.9900566844141446,16,0.005139927634099383,False
S0001,16,0.004967817095194855,0.00017211053890452862,0.004947734769643459,0.004987899420746252,,0.9941709388269304,16,0.005139927634099383,True
