model,removed_group,remaining_dim,I0002_AC,I0006_AC,S0001_AC,Macro_AC,Worst_AC,delta_I0002_vs_full,delta_I0006_vs_full,delta_S0001_vs_full,delta_Macro_vs_full,delta_Worst_vs_full
CAISR20_minus_sleep_architecture,sleep_architecture,11,0.7362142099681867,0.6955771751880218,0.6080787582953985,0.6799567144838689,0.6080787582953985,-0.009809119830328727,0.017870696198164615,-0.008583337903800725,-0.0001739205119883902,-0.008583337903800725
CAISR20_minus_fragmentation_uncertainty,fragmentation_uncertainty,17,0.6744432661717922,0.6663216725315669,0.5780507870344979,0.6396052419126189,0.5780507870344979,-0.0715800636267232,-0.011384806458290209,-0.038611309164701346,-0.040525393083238326,-0.038611309164701346
CAISR20_minus_arousal,arousal,17,0.7232237539766702,0.6602497757538122,0.626819503098777,0.670097677609753,0.626819503098777,-0.02279957582184522,-0.01745670323604498,0.010157406899577781,-0.010032957386104213,0.010157406899577781
CAISR20_minus_respiratory,respiratory,17,0.7608695652173914,0.6675636514179258,0.6339823397137059,0.6874718521163411,0.6339823397137059,0.014846235418875975,-0.010142827571931301,0.017320243514506672,0.007341217120483856,0.017320243514506672
CAISR20_minus_limb,limb,18,0.7523860021208908,0.6036017387704409,0.5947622442823453,0.6502499950578923,0.5947622442823453,0.006362672322375418,-0.07410474021941627,-0.021899851916853952,-0.02988063993796497,-0.021899851916853952
