epoch,train_loss,train_natural_ac,train_natural_auroc,train_natural_auprc,seen_site_macro_ac,lr,is_best_checkpoint,elapsed_seconds,val_I0002_ac_auroc,val_I0002_auroc,val_I0002_auprc,val_I0002_eligible_ac_pairs,val_I0006_ac_auroc,val_I0006_auroc,val_I0006_auprc,val_I0006_eligible_ac_pairs
1,8.48439190077455,0.6334971792437022,0.6840119340119339,0.22373923106029042,0.4654260157671316,0.001,True,90.39780759811401,0.5514705882352942,0.5685185185185185,0.223643959763253,68,0.37938144329896906,0.5046113306982871,0.12361866815535971,485
2,1.681190885909616,0.6837960118415908,0.7370422370422371,0.3169404985619296,0.6095815645845968,0.001,True,89.53655529022217,0.5882352941176471,0.6444444444444444,0.2307882718937706,68,0.6309278350515464,0.6919191919191919,0.2212150279858721,485
3,1.6353910373498315,0.7042953694911467,0.7533564408564408,0.2776509396081429,0.7280624620982413,0.001,True,88.32730770111084,0.6911764705882353,0.687037037037037,0.27014726264726263,68,0.7649484536082474,0.709925340360123,0.1866887691610058,485
4,1.499971577157713,0.7200469195106965,0.7546726921726922,0.32754597169476524,0.7046998180715585,0.001,False,91.96112966537476,0.6176470588235294,0.6685185185185185,0.27253022783667946,68,0.7917525773195876,0.759332454984629,0.27137000239976317,485
5,1.5060755247122621,0.7542869910070937,0.7924417924417924,0.37142354370248915,0.7563068526379624,0.001,True,91.00125861167908,0.7352941176470589,0.6777777777777778,0.30445848011637483,68,0.777319587628866,0.7674571805006588,0.27009652888812946,485
6,1.5672474956675753,0.7650673071552254,0.8046829296829296,0.3781094399585321,0.7136294724075197,0.001,False,90.42412304878235,0.6911764705882353,0.6666666666666667,0.3107316557379635,68,0.7360824742268042,0.7577953447518665,0.2508848318401857,485
7,1.4939585328102112,0.7437859576607273,0.786482098982099,0.34174217507996,0.6828380836870831,0.001,False,91.46186184883118,0.7058823529411765,0.7314814814814814,0.34126089324618736,68,0.6597938144329897,0.7189284145805885,0.2217932312270159,485
8,1.5926462232250056,0.7976037535608558,0.8318233005733007,0.4225481571655079,0.7396755609460279,0.001,False,88.92984390258789,0.7205882352941176,0.7462962962962962,0.42623962954608113,68,0.7587628865979381,0.761528326745718,0.3122623929844921,485
9,1.470669006239878,0.7994749483326816,0.8332017082017082,0.4469224179027427,0.7154184354154033,0.001,False,92.54400515556335,0.6617647058823529,0.6944444444444444,0.3269444444444444,68,0.7690721649484537,0.7608695652173914,0.2886557509092357,485
10,1.3380592181666258,0.8123498854940513,0.8405690593190593,0.4712392389638794,0.7314281382656156,0.001,False,93.8025233745575,0.7205882352941176,0.7074074074074075,0.34503394862662595,68,0.7422680412371134,0.7586736934563021,0.32575284947068045,485
