level,model,condition,outer_seed,folds_total,folds_with_ac,folds_with_auroc,ac_auroc,auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,ac_repeat_min,ac_repeat_max,ac_repeat_sd
repeat,p3_demo10,overall,7,3,3,3,0.5373614099382382,0.777577228636206,452.0,17.666666666666668,226.66666666666666,17.0,174.33333333333334,N/A,N/A,N/A
repeat,p3_demo10,same_site,7,3,3,3,0.5694533885413258,0.7853940163305589,301.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,154.0,N/A,N/A,N/A
repeat,p3_demo10,cross_site,7,3,3,3,0.48324321237354567,0.7627068116984494,150.66666666666666,17.666666666666668,226.66666666666666,16.0,89.0,N/A,N/A,N/A
repeat,p3_demo10,site_I0002,7,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_demo10,site_I0006,7,3,3,3,0.3841269841269841,0.7632870182212287,15.666666666666666,4.333333333333333,35.666666666666664,3.3333333333333335,10.0,N/A,N/A,N/A
repeat,p3_demo10,site_S0001,7,3,3,3,0.5750260596584367,0.7860015705439753,285.6666666666667,13.333333333333334,191.0,13.0,144.0,N/A,N/A,N/A
repeat,p3_compact30,overall,7,3,3,3,0.5439121831606544,0.766791966282837,452.0,17.666666666666668,226.66666666666666,17.0,174.33333333333334,N/A,N/A,N/A
repeat,p3_compact30,same_site,7,3,3,3,0.5029976214615748,0.7528821877972965,301.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,154.0,N/A,N/A,N/A
repeat,p3_compact30,cross_site,7,3,3,3,0.6027697182240515,0.7820095646300578,150.66666666666666,17.666666666666668,226.66666666666666,16.0,89.0,N/A,N/A,N/A
repeat,p3_compact30,site_I0002,7,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_compact30,site_I0006,7,3,3,3,0.557142857142857,0.7800540201855991,15.666666666666666,4.333333333333333,35.666666666666664,3.3333333333333335,10.0,N/A,N/A,N/A
repeat,p3_compact30,site_S0001,7,3,3,3,0.49248512175314835,0.7491573514058394,285.6666666666667,13.333333333333334,191.0,13.0,144.0,N/A,N/A,N/A
repeat,p3_compact35,overall,7,3,3,3,0.538607143372856,0.7631628770715503,452.0,17.666666666666668,226.66666666666666,17.0,174.33333333333334,N/A,N/A,N/A
repeat,p3_compact35,same_site,7,3,3,3,0.4944818063764167,0.749116913875072,301.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,154.0,N/A,N/A,N/A
repeat,p3_compact35,cross_site,7,3,3,3,0.606005964178744,0.7788810094537211,150.66666666666666,17.666666666666668,226.66666666666666,16.0,89.0,N/A,N/A,N/A
repeat,p3_compact35,site_I0002,7,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
