model,outer_seed,fold,condition,ac_auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,auroc,auroc_pairs,source_file
p4_legacy_best_val_ac,7,0,site_I0006,0.6333333333333333,30,7,32,6,15,0.59375,224,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,7,0,site_S0001,0.8595505617977528,178,8,197,8,116,0.8648477157360406,1576,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/best_val_ac_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,0,overall,0.8170731707317073,410,15,229,15,150,0.8104803493449781,3435,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,0,same_site,0.8028846153846154,208,15,229,14,131,0.7905555555555556,1800,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,0,cross_site,0.8316831683168316,202,15,229,14,110,0.8324159021406727,1635,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,0,site_I0006,0.7666666666666667,30,7,32,6,15,0.6026785714285714,224,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/fixed_epoch6_outer_holdout_logits.csv
p4_legacy_fixed_epoch6,7,0,site_S0001,0.8089887640449438,178,8,197,8,116,0.817258883248731,1576,output/p4_legacy_lstm_cv/seed7_model/outer_seed7_fold0/fixed_epoch6_outer_holdout_logits.csv
p3_demo10,7,1,overall,0.4708222811671088,377,19,226,18,173,0.8245225896599907,4294,output/p3_v2/cv/seed7/fold1/P3_demo10_holdout.csv
p3_demo10,7,1,same_site,0.46897810218978103,274,19,226,17,154,0.8249519538757207,3122,output/p3_v2/cv/seed7/fold1/P3_demo10_holdout.csv
p3_demo10,7,1,cross_site,0.47572815533980584,103,19,226,16,76,0.8233788395904437,1172,output/p3_v2/cv/seed7/fold1/P3_demo10_holdout.csv
p3_demo10,7,1,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold1/P3_demo10_holdout.csv
p3_demo10,7,1,site_I0006,0.2857142857142857,7,3,38,2,7,0.8421052631578947,114,output/p3_v2/cv/seed7/fold1/P3_demo10_holdout.csv
p3_demo10,7,1,site_S0001,0.4737827715355805,267,16,188,15,147,0.8243018617021277,3008,output/p3_v2/cv/seed7/fold1/P3_demo10_holdout.csv
p3_compact30,7,1,overall,0.5915119363395226,377,19,226,18,173,0.8509548206800186,4294,output/p3_v2/cv/seed7/fold1/P3_compact30_holdout.csv
p3_compact30,7,1,same_site,0.5766423357664233,274,19,226,17,154,0.8549007046764894,3122,output/p3_v2/cv/seed7/fold1/P3_compact30_holdout.csv
p3_compact30,7,1,cross_site,0.6310679611650486,103,19,226,16,76,0.840443686006826,1172,output/p3_v2/cv/seed7/fold1/P3_compact30_holdout.csv
p3_compact30,7,1,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold1/P3_compact30_holdout.csv
p3_compact30,7,1,site_I0006,0.5714285714285714,7,3,38,2,7,0.8157894736842105,114,output/p3_v2/cv/seed7/fold1/P3_compact30_holdout.csv
p3_compact30,7,1,site_S0001,0.5767790262172284,267,16,188,15,147,0.8563829787234043,3008,output/p3_v2/cv/seed7/fold1/P3_compact30_holdout.csv
p3_compact35,7,1,overall,0.5755968169761273,377,19,226,18,173,0.83977643223102,4294,output/p3_v2/cv/seed7/fold1/P3_compact35_holdout.csv
p3_compact35,7,1,same_site,0.551094890510949,274,19,226,17,154,0.8430493273542601,3122,output/p3_v2/cv/seed7/fold1/P3_compact35_holdout.csv
p3_compact35,7,1,cross_site,0.6407766990291263,103,19,226,16,76,0.8310580204778157,1172,output/p3_v2/cv/seed7/fold1/P3_compact35_holdout.csv
p3_compact35,7,1,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold1/P3_compact35_holdout.csv
p3_compact35,7,1,site_I0006,0.5714285714285714,7,3,38,2,7,0.8157894736842105,114,output/p3_v2/cv/seed7/fold1/P3_compact35_holdout.csv
p3_compact35,7,1,site_S0001,0.550561797752809,267,16,188,15,147,0.8440824468085106,3008,output/p3_v2/cv/seed7/fold1/P3_compact35_holdout.csv
p3_global59,7,1,overall,0.5039787798408488,377,19,226,18,173,0.8134606427573359,4294,output/p3_v2/cv/seed7/fold1/P3_global59_holdout.csv
p3_global59,7,1,same_site,0.5401459854014599,274,19,226,17,154,0.8337604099935938,3122,output/p3_v2/cv/seed7/fold1/P3_global59_holdout.csv
p3_global59,7,1,cross_site,0.4077669902912621,103,19,226,16,76,0.7593856655290102,1172,output/p3_v2/cv/seed7/fold1/P3_global59_holdout.csv
p3_global59,7,1,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold1/P3_global59_holdout.csv
p3_global59,7,1,site_I0006,0.2857142857142857,7,3,38,2,7,0.6929824561403509,114,output/p3_v2/cv/seed7/fold1/P3_global59_holdout.csv
p3_global59,7,1,site_S0001,0.5468164794007491,267,16,188,15,147,0.839095744680851,3008,output/p3_v2/cv/seed7/fold1/P3_global59_holdout.csv
p3_stage155,7,1,overall,0.46153846153846156,377,19,226,18,173,0.8062412668840242,4294,output/p3_v2/cv/seed7/fold1/P3_stage155_holdout.csv
p3_stage155,7,1,same_site,0.5036496350364964,274,19,226,17,154,0.8174247277386291,3122,output/p3_v2/cv/seed7/fold1/P3_stage155_holdout.csv
p3_stage155,7,1,cross_site,0.34951456310679613,103,19,226,16,76,0.7764505119453925,1172,output/p3_v2/cv/seed7/fold1/P3_stage155_holdout.csv
p3_stage155,7,1,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold1/P3_stage155_holdout.csv
p3_stage155,7,1,site_I0006,0.2857142857142857,7,3,38,2,7,0.7368421052631579,114,output/p3_v2/cv/seed7/fold1/P3_stage155_holdout.csv
p3_stage155,7,1,site_S0001,0.5093632958801498,267,16,188,15,147,0.8204787234042553,3008,output/p3_v2/cv/seed7/fold1/P3_stage155_holdout.csv
