holdout_site,train_n,train_positive,holdout_n,holdout_positive,holdout_negative,train_positives,train_negatives,train_eligible_ac_pairs,train_ac_auroc,train_age_weighted_auroc,train_auroc,train_auprc,train_diagnostic_threshold,train_diagnostic_accuracy,train_diagnostic_f1,holdout_positives,holdout_negatives,holdout_eligible_ac_pairs,holdout_ac_auroc,holdout_age_weighted_auroc,holdout_auroc,holdout_auprc,holdout_diagnostic_threshold,holdout_diagnostic_accuracy,holdout_diagnostic_f1,n_iter,converged,warnings
I0002,6281,446,319,52,267,446,5835,300241,0.6752175752145776,0.6812502995176322,0.7421505450716835,0.18912675826646302,decision_score>=0 (uncalibrated p>=0.5),0.7048240725999044,0.23703703703703705,52,267,1886,0.7460233297985154,0.7456358409099622,0.7641169691731489,0.5129300450771846,decision_score>=0 (uncalibrated p>=0.5),0.6426332288401254,0.39361702127659576,24,True,
I0006,5458,386,1142,112,1030,386,5072,226277,0.6714734595208528,0.6852761164953028,0.7399052095421782,0.18572742102667172,decision_score>=0 (uncalibrated p>=0.5),0.7057530230853792,0.23523809523809525,112,1030,14493,0.6777064789898571,0.6594772673916318,0.7314927184466019,0.20293299537665033,decision_score>=0 (uncalibrated p>=0.5),0.5718038528896673,0.26905829596412556,30,True,
S0001,1461,164,5139,334,4805,164,1297,27234,0.7254351178673717,0.7221291505953236,0.7669457660266656,0.3299722059760778,decision_score>=0 (uncalibrated p>=0.5),0.7385352498288843,0.3675496688741722,334,4805,182330,0.6166620961991992,0.6263356233212005,0.6991220472686261,0.1316740860980098,decision_score>=0 (uncalibrated p>=0.5),0.8544463903483168,0.2025586353944563,31,True,
