feature_family,feature_dimension,mean_balanced_accuracy,sd_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_macro_f1,mean_macro_ovr_auroc,all_folds_converged,convergence_warnings
respiration14,28,0.6951250825424632,0.038423142367138306,0.6691476165160376,0.7594705489442332,0.5534135798319533,0.8577925050160908,True,
global59,59,0.6838883135088766,0.03397244283479988,0.6446039340776183,0.7302770668743741,0.5983680435225702,0.8503271484000667,True,
emg24,48,0.664706129810169,0.060468842332502964,0.6041689848299395,0.7343884185989449,0.5708565240075146,0.8539267988015744,True,
static196,196,0.6642236316654921,0.06714396385700756,0.5770866560340244,0.7547608337082021,0.6411470097170985,0.8465821705573031,True,
compact30,30,0.658807514621468,0.036100909710541945,0.6159081636437818,0.7075341812183917,0.5796644521271321,0.8424713839485826,True,
stage_event13,13,0.6190198853234349,0.05821661801048602,0.5315435052277158,0.6817347279403583,0.503789050012869,0.7945686243360152,True,
eeg_spectral54,108,0.6150546611011727,0.07116471867979517,0.5248970735506844,0.7159694107062528,0.5519365843202392,0.8152911021229883,True,
coherence360,720,0.613783873318757,0.04348711446782018,0.5596314017366649,0.6651644968658431,0.5997616138759493,0.8071132920670492,True,
demo10,10,0.5972426870468487,0.0552113952874669,0.5521340258182365,0.67685628211944,0.5586599641299607,0.7833447445622335,True,
bsr18,36,0.42417137511384756,0.015669376709477646,0.40076406661473984,0.4437149957345796,0.44887302955868524,0.5576307107093841,True,
ecg12,24,0.3826945220335673,0.018243832730947065,0.3605763881161678,0.4077618288144604,0.34221528445173793,0.5637817694052311,True,
