protocol,holdout_site,train_n,train_positives,train_negatives,train_eligible_ac_pairs,train_ac_auroc,train_age_weighted_auroc,train_auroc,train_auprc,train_diagnostic_threshold,train_diagnostic_accuracy,train_diagnostic_f1,holdout_n,holdout_positives,holdout_negatives,holdout_eligible_ac_pairs,holdout_ac_auroc,holdout_age_weighted_auroc,holdout_auroc,holdout_auprc,holdout_diagnostic_threshold,holdout_diagnostic_accuracy,holdout_diagnostic_f1,train_ac_minus_holdout_ac
B1_global_class_pos1,I0002,1049,76,973,8636,0.7270727188513201,0.7371327903903063,0.7587088224157517,0.2239321751900456,decision_score>=0 (uncalibrated p>=0.5),0.8293612964728313,0.31417624521072796,54,8,46,48,0.6666666666666666,0.6606127722406792,0.6766304347826086,0.25803429027113234,decision_score>=0 (uncalibrated p>=0.5),0.7037037037037037,0.0,0.06040605218465345
B1_global_class_pos1,I0006,911,64,847,6249,0.5272843654984798,0.520870415379464,0.5296266233766234,0.11495535714285714,decision_score>=0 (uncalibrated p>=0.5),0.9286498353457738,0.08450704225352113,192,20,172,441,0.5317460317460317,0.5315893231416953,0.5438953488372094,0.12609242220944347,decision_score>=0 (uncalibrated p>=0.5),0.875,0.2,-0.004461666247551954
B1_global_class_pos1,S0001,246,28,218,791,0.831858407079646,0.7935236439891247,0.8252785058977719,0.45705941789125504,decision_score>=0 (uncalibrated p>=0.5),0.6585365853658537,0.373134328358209,857,56,801,5124,0.563231850117096,0.5459343356295037,0.5565141787051899,0.0907557342244576,decision_score>=0 (uncalibrated p>=0.5),0.6802800466744457,0.14375,0.26862655696255
B2_site_class_pos1,I0002,1049,76,973,8636,0.6812181565539601,0.7087244155265882,0.6588143019419052,0.2127850389328464,decision_score>=0 (uncalibrated p>=0.5),0.8970448045757865,0.25,54,8,46,48,0.6458333333333334,0.6432244370616463,0.5760869565217391,0.24914693492601234,decision_score>=0 (uncalibrated p>=0.5),0.8518518518518519,0.2,0.03538482322062675
B2_site_class_pos1,I0006,911,64,847,6249,0.7937269963194111,0.8140315831908902,0.8023354486422668,0.31908410263612774,decision_score>=0 (uncalibrated p>=0.5),0.5806805708013172,0.21721311475409835,192,20,172,441,0.562358276643991,0.5609332145670879,0.606686046511628,0.17002981019747107,decision_score>=0 (uncalibrated p>=0.5),0.421875,0.2014388489208633,0.23136871967542016
B2_site_class_pos1,S0001,246,28,218,791,0.729456384323641,0.7012665478250735,0.741480996068152,0.28983384299135173,decision_score>=0 (uncalibrated p>=0.5),0.5528455284552846,0.27631578947368424,857,56,801,5124,0.616608118657299,0.6512749954480834,0.6386882468343144,0.1408286504050822,decision_score>=0 (uncalibrated p>=0.5),0.5332555425904317,0.15966386554621848,0.11284826566634198
