epoch,train_loss,train_natural_ac,train_natural_auroc,train_natural_auprc,seen_site_macro_ac,lr,is_best_checkpoint,elapsed_seconds,val_I0006_ac_auroc,val_I0006_auroc,val_I0006_auprc,val_I0006_eligible_ac_pairs,val_S0001_ac_auroc,val_S0001_auroc,val_S0001_auprc,val_S0001_eligible_ac_pairs
1,4.733477400841227,0.7556020549977358,0.7947283477350657,0.21737523010731558,0.7731908037446054,0.001,True,388.2630832195282,0.7917525773195876,0.7779973649538867,0.26963286400475595,485,0.7546290301696232,0.7829220184198673,0.22932195770513977,7723
2,1.8368986465369062,0.774220917461755,0.81500270989047,0.23254430692863112,0.755346261201312,0.001,False,376.2630355358124,0.7546391752577319,0.756258234519104,0.2298094056010842,485,0.7560533471448919,0.8048519111000669,0.2837204864303977,7723
3,1.648796046093391,0.8069691906494479,0.837607637869804,0.2497142623205703,0.7286458576670836,0.001,False,379.5899667739868,0.6577319587628866,0.6901624945103204,0.20350581617386443,485,0.7995597565712806,0.8379408886887105,0.3260642747966825,7723
4,1.6206243735305064,0.8286538932004976,0.8580143435132783,0.28043081696316635,0.7639585733336359,0.001,False,380.19304943084717,0.7134020618556701,0.7279314888010541,0.23231281144448127,485,0.8145150848116017,0.8363800145992203,0.35044134313130154,7723
5,1.5672212724164603,0.8399464909404165,0.8699138536923234,0.32887851032672527,0.7474719374848992,0.001,False,384.8045392036438,0.7175257731958763,0.7310057092665789,0.26739799820434,485,0.777418101773922,0.8086725581250873,0.31122842381497895,7723
6,1.523422011571705,0.8485532253782851,0.8758594074012721,0.337219521560592,0.7641456567676415,0.001,False,378.9404971599579,0.7298969072164948,0.7310057092665788,0.23784297069148458,485,0.798394406318788,0.8266420240110581,0.34652395716482665,7723
7,1.4770092794042864,0.8562438514030513,0.8840208892642122,0.35471856238639143,0.7579277189169851,0.001,False,385.00986194610596,0.7175257731958763,0.7226613965744402,0.25701108733837225,485,0.798329664638094,0.8264556509854473,0.3567163865303498,7723
8,1.399090731907992,0.8617821431731705,0.8922862052470443,0.4006897582389469,0.7682414023715478,0.001,False,395.57794070243835,0.709278350515464,0.7162933684672814,0.2221155592772368,485,0.8272044542276318,0.8526565921692266,0.3935319456984183,7723
9,1.3802414269773824,0.8723434157310389,0.8990183174191039,0.4194234417113742,0.7571980067571626,0.001,False,386.00843834877014,0.711340206185567,0.7055335968379446,0.20377038300776196,485,0.8030558073287583,0.8393930451799276,0.34143806805311006,7723
10,1.4262283868779233,0.8756877319550066,0.9027695500741545,0.4315969405556492,0.7483103088778865,0.0005,False,379.3833990097046,0.6783505154639176,0.676548089591568,0.25496257836338465,485,0.8182701022918555,0.84272446301272,0.40471590472225083,7723
11,1.3031907741004114,0.8866159683942597,0.9122001489689512,0.48098724363996526,0.7413264168750192,0.0005,False,379.5984077453613,0.7154639175257732,0.7026789635485289,0.25805033740867134,485,0.7671889162242652,0.8118253684750028,0.3724893171838662,7723
12,1.3212547717010898,0.8955376150991323,0.9202818046009918,0.5048180423517381,0.7470286238321469,0.0005,False,382.976366519928,0.7134020618556701,0.6938954765041723,0.24775104250429958,485,0.7806551858086236,0.8127960613167254,0.3515295508457939,7723
13,1.287140857024937,0.9000452849045113,0.9241896887317173,0.516287932941106,0.7540755889156903,0.0005,False,377.9294638633728,0.7175257731958763,0.702239789196311,0.27893396601816745,485,0.7906254046355043,0.8234115582338049,0.33572637779563763,7723
14,1.3010424062354597,0.8819105024542336,0.9037163611962891,0.4817178531680646,0.7096340292952767,0.0005,False,378.9305350780487,0.6484536082474227,0.6719367588932805,0.18611678739902857,485,0.7708144503431309,0.816904033422896,0.3078411256056438,7723
15,1.3037379777213192,0.9009405726718615,0.9236005951555681,0.5581824289521446,0.7360392908583412,0.0005,False,382.5314953327179,0.6793814432989691,0.7059727711901624,0.2470964510813426,485,0.7926971384177133,0.8312702874803919,0.3345255756592597,7723
16,1.2454687765366428,0.9125871213895699,0.9299893945150376,0.5837624079997843,0.6932615256877636,0.0005,False,372.58664894104004,0.6319587628865979,0.6707290294246815,0.1958285098519826,485,0.7545642884889292,0.7957972882724772,0.3117240588893239,7723
