holdout_site,seed,feature,coefficient
I0002,37,caisr_sleep_rem_latency_sec,-0.022852152166845694
I0002,37,caisr_sleep_waso_sec,0.3227545658727066
I0002,37,caisr_sleep_n1_pct,0.14933115652879575
I0002,37,caisr_sleep_n2_pct,0.6639019103819684
I0002,37,caisr_sleep_n3_pct,0.34177678141337164
I0002,37,caisr_sleep_rem_pct,0.30289908751631606
I0002,37,caisr_sleep_transition_rate,-0.20314197728827849
I0002,37,caisr_sleep_short_bout_ratio,0.10315992402602411
I0002,37,caisr_sleep_mean_stage_entropy,0.45085971965593624
I0002,37,caisr_arousal_arousal_index,-0.40730433409517713
I0002,37,caisr_arousal_arousal_burden_ratio,-0.057083191135277274
I0002,37,caisr_arousal_mean_arousal_duration,0.019312298500549732
I0002,37,caisr_respiratory_respiratory_event_index,-0.035385355181583755
I0002,37,caisr_respiratory_respiratory_burden_ratio,0.03773195097309636
I0002,37,caisr_respiratory_mean_resp_duration,0.07091436233957016
I0002,37,caisr_limb_limb_movement_index,0.27543956372320805
I0002,37,caisr_limb_plmi,0.1142451685019064
I0002,47,age,1.3351719799962487
I0002,47,sex_Female,-0.036884909596520486
I0002,47,sex_Male,0.036884909596520486
I0002,47,sex_OtherUnknown,0.0
I0002,47,race_Asian,0.04596345143545776
I0002,47,race_Black,-0.024815953385309925
I0002,47,race_Others,-0.015215737915342673
I0002,47,race_Unavailable,0.10378844816019753
I0002,47,race_White,-0.030387585027225168
I0002,47,BMI,-0.12321076449843689
I0002,47,caisr_sleep_tst_sec,-0.11485167390582526
I0002,47,caisr_sleep_se,0.5256466149150152
I0002,47,caisr_sleep_sol_sec,0.5548047500123863
I0002,47,caisr_sleep_rem_latency_sec,-0.0061201618854177875
I0002,47,caisr_sleep_waso_sec,0.39165276850623015
I0002,47,caisr_sleep_n1_pct,0.10374276051518967
I0002,47,caisr_sleep_n2_pct,0.677915791131234
I0002,47,caisr_sleep_n3_pct,0.3324496888482784
I0002,47,caisr_sleep_rem_pct,0.29320823174970334
I0002,47,caisr_sleep_transition_rate,-0.14851727656763936
I0002,47,caisr_sleep_short_bout_ratio,0.09803924521222812
