epoch,train_loss,train_natural_ac,train_natural_auroc,train_natural_auprc,seen_site_macro_ac,lr,is_best_checkpoint,elapsed_seconds,val_I0002_ac_auroc,val_I0002_auroc,val_I0002_auprc,val_I0002_eligible_ac_pairs,val_S0001_ac_auroc,val_S0001_auroc,val_S0001_auprc,val_S0001_eligible_ac_pairs
1,4.158082035010526,0.7929664477926545,0.8312126629190987,0.3200804468044262,0.7681210060095514,0.001,True,328.4190146923065,0.7794117647058824,0.7314814814814815,0.34006019124553605,68,0.7568302473132202,0.8014816655536054,0.2510940336857687,7723
2,1.8281193555520863,0.8356780818593428,0.8737122221929735,0.37520167215407646,0.7442579841725632,0.001,False,328.4345443248749,0.6617647058823529,0.6833333333333333,0.26826900984739843,68,0.8267512624627735,0.8494338919347073,0.33474797343661516,7723
3,1.7485014997897101,0.8216026569964568,0.8703012811768863,0.3863606708175566,0.7453585927443618,0.001,False,337.87668442726135,0.6617647058823529,0.6907407407407407,0.26944930875576034,68,0.8289524796063705,0.8558249336046097,0.3574751610858742,7723
4,1.5893290955377073,0.8282798166727915,0.8727741336441149,0.3807656969443268,0.7434301475348652,0.001,False,340.7159233093262,0.6544117647058824,0.6685185185185185,0.2612798011669831,68,0.8324485303638482,0.8591796480656033,0.3592435549097894,7723
5,1.49875659397639,0.8624040548317536,0.8949548225808125,0.40860286745573815,0.7392681143414248,0.001,False,333.17552042007446,0.6470588235294118,0.662962962962963,0.27040271598071935,68,0.8314774051534378,0.8617733393386864,0.36355248246379984,7723
6,1.8273822062478609,0.8344196140698779,0.8822148462085188,0.4187504986936771,0.7564527461897617,0.001,False,327.2776532173157,0.6838235294117647,0.687037037037037,0.2830634796238245,68,0.8290819629677586,0.8594281454330843,0.35219816491824896,7723
7,1.5700355159870485,0.8391137335931163,0.8859536396000998,0.41786220355462234,0.7311382729966258,0.001,False,332.3896131515503,0.6323529411764706,0.6333333333333334,0.23795980360635532,68,0.8299236048167811,0.8595213319458899,0.3670948245277293,7723
8,1.4561983114035917,0.8483945001837432,0.8866739575929732,0.4274180696031425,0.6934210075328849,0.001,False,334.8246388435364,0.5661764705882353,0.5981481481481482,0.21049173414304992,68,0.8206655444775346,0.8555764362371285,0.36244995198945495,7723
9,1.4436792668485883,0.853937998793535,0.8962929548433208,0.4603371334482253,0.7287380703932487,0.001,False,329.1652727127075,0.6176470588235294,0.662037037037037,0.24985893599864187,68,0.8398290819629678,0.861074440492646,0.38552231820351707,7723
10,1.4156283802304637,0.8578971453928985,0.8940693818586757,0.4525257350764209,0.7462188002224067,0.0005,False,346.44469380378723,0.6691176470588235,0.6842592592592591,0.2497359249173765,68,0.82331995338599,0.8529050895367077,0.3692319261369028,7723
11,1.5848650828010709,0.8675557990057065,0.9071838757256028,0.47779955116122363,0.72502018417104,0.0005,False,349.48041343688965,0.6323529411764706,0.6518518518518519,0.2512921169791525,68,0.8176874271656093,0.8630080606333574,0.40891060721601635,7723
12,1.5043072645619437,0.8802271482357183,0.913316948691502,0.5079798620312733,0.7275546305535032,0.0005,False,350.40225434303284,0.6617647058823529,0.6944444444444444,0.2863986157895684,68,0.7933445552246536,0.8443785236150155,0.38002451953459504,7723
13,1.5480253805111595,0.884834596423594,0.9177014756547676,0.5277911162245795,0.7218478418170324,0.0005,False,350.4198536872864,0.6323529411764706,0.6574074074074074,0.24351175688503898,68,0.8113427424575942,0.8583409694503549,0.39946681681821894,7723
14,1.4905553551453055,0.9028587673255999,0.9296976020510318,0.5384113511992236,0.7254133946729022,0.0005,False,354.0281550884247,0.6470588235294118,0.6907407407407408,0.25943707633362806,68,0.8037679658163926,0.8481525773836334,0.3777293817378929,7723
15,1.4297592416985887,0.9143063173002919,0.936779532439437,0.5917021542835396,0.6991139910580314,0.0005,False,354.68236470222473,0.6029411764705882,0.6611111111111111,0.24865501215501212,68,0.7952868056454746,0.8413654930343082,0.35154193044967164,7723
16,1.6638255614004056,0.9190697738918203,0.9410910703702019,0.5606483281117238,0.6845652024891272,0.0005,False,351.9243633747101,0.5588235294117647,0.6148148148148147,0.23240998201082236,68,0.8103068755664897,0.8552502834423097,0.411301245214275,7723
