2026-09-10 14:18:32 | INFO    | p4_legacy_lstm_cv | epoch=30 loss=0.513719 val_ac=0.646552 val_auroc=0.643265 val_auprc=0.269179 lr=0.0005 improved=False time=22.3s
2026-09-10 14:18:53 | INFO    | p4_legacy_lstm_cv | epoch=31 loss=0.907553 val_ac=0.620690 val_auroc=0.634132 val_auprc=0.267027 lr=0.0005 improved=False time=21.5s
2026-09-10 14:19:15 | INFO    | p4_legacy_lstm_cv | epoch=32 loss=1.049560 val_ac=0.564655 val_auroc=0.602169 val_auprc=0.266931 lr=0.00025 improved=False time=22.5s
2026-09-10 14:19:37 | INFO    | p4_legacy_lstm_cv | epoch=33 loss=0.413300 val_ac=0.620690 val_auroc=0.633562 val_auprc=0.267157 lr=0.00025 improved=False time=21.9s
2026-09-10 14:20:01 | INFO    | p4_legacy_lstm_cv | epoch=34 loss=0.508345 val_ac=0.534483 val_auroc=0.601598 val_auprc=0.237887 lr=0.00025 improved=False time=23.2s
2026-09-10 14:20:23 | INFO    | p4_legacy_lstm_cv | epoch=35 loss=0.405426 val_ac=0.564655 val_auroc=0.609589 val_auprc=0.270152 lr=0.00025 improved=False time=22.8s
2026-09-10 14:20:46 | INFO    | p4_legacy_lstm_cv | epoch=36 loss=0.281889 val_ac=0.599138 val_auroc=0.623858 val_auprc=0.239120 lr=0.00025 improved=False time=22.5s
2026-09-10 14:21:08 | INFO    | p4_legacy_lstm_cv | epoch=37 loss=0.606795 val_ac=0.543103 val_auroc=0.582192 val_auprc=0.258798 lr=0.00025 improved=False time=21.9s
2026-09-10 14:21:30 | INFO    | p4_legacy_lstm_cv | epoch=38 loss=0.266872 val_ac=0.534483 val_auroc=0.571918 val_auprc=0.252732 lr=0.00025 improved=False time=22.1s
2026-09-10 14:21:30 | INFO    | p4_legacy_lstm_cv | early_stop epoch=38 best_epoch=23
2026-09-10 14:22:07 | INFO    | p4_legacy_lstm_cv | Both complete checkpoints frozen; constructing outer holdout loader now
2026-09-10 14:22:14 | INFO    | p4_legacy_lstm_cv | best_val_ac outer_holdout ac=0.645514 auroc=0.709704 auprc=0.149330
2026-09-10 14:22:22 | INFO    | p4_legacy_lstm_cv | fixed_epoch6 outer_holdout ac=0.684902 auroc=0.694627 auprc=0.145949
