split,n_seeds,reward_mean,reward_std,reward_min,reward_max,age_conditioned_auroc_mean,age_conditioned_auroc_std,age_conditioned_auroc_min,age_conditioned_auroc_max,age_weighted_auroc_mean,age_weighted_auroc_std,age_weighted_auroc_min,age_weighted_auroc_max,auroc_mean,auroc_std,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_min,auprc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f_measure_mean,f_measure_std,f_measure_min,f_measure_max
test,5,0.32039999999999996,0.07668963424088031,0.21,0.404,0.7737999999999999,0.1149573834079395,0.57,0.842,0.7846,0.08200182924788933,0.643,0.848,0.7674,0.08271819630528703,0.627,0.837,0.2842,0.09110543342743066,0.174,0.377,0.6556,0.11018756735675765,0.525,0.81,0.23700000000000002,0.03284813541131369,0.194,0.277
external,5,1.0992,0.7019214343500275,-0.146,1.552,0.6564,0.1189949578763739,0.458,0.771,0.6274,0.08902977030184904,0.481,0.715,0.7041999999999999,0.11413237927950158,0.514,0.802,0.31799999999999995,0.09663591464874742,0.167,0.418,0.6888,0.08697528384546956,0.556,0.759,0.3818,0.15813664976848346,0.118,0.519
