model,split,reward,age_conditioned_auroc,age_weighted_auroc,auroc,auprc,accuracy,f_measure
official_retrain,test,0.4044186320146084,0.8424242424242424,0.8484858183174749,0.8373531230674087,0.3577428668892083,0.7025316455696202,0.27692307692307694
official_retrain,external,1.3432831549161892,0.71875,0.6782318198597268,0.7730978260869565,0.4176965264819038,0.7592592592592593,0.48
seed_1,test,0.1759273209339403,0.7151515151515152,0.7450147446701156,0.7402597402597403,0.17799131441321597,0.4936708860759494,0.1836734693877551
seed_1,external,1.3731123536820193,0.7708333333333334,0.7064931709117757,0.7880434782608696,0.4659094581888699,0.6111111111111112,0.4
seed_2026,test,0.1882542814735263,0.8,0.7969037891372984,0.7322201607915894,0.1932505811348675,0.47468354430379744,0.1782178217821782
seed_2026,external,1.388111987598644,0.7708333333333334,0.715345145810262,0.7744565217391304,0.38412101183840314,0.6111111111111112,0.4
seed_3407,test,0.1465287890081095,0.7696969696969697,0.7923135687265196,0.7884972170686457,0.20679907213998125,0.45569620253164556,0.18867924528301888
seed_3407,external,1.2909430134400357,0.5104166666666666,0.5216694352159468,0.6277173913043478,0.21985998802036538,0.5370370370370371,0.358974358974359
seed_42,test,0.3401912032255275,0.8181818181818182,0.8306106669983304,0.8317872603586889,0.25199981794919923,0.6139240506329114,0.24691358024691357
seed_42,external,1.5377688366525613,0.7916666666666666,0.7850535252860834,0.8233695652173914,0.38082399626517277,0.7407407407407407,0.5
seed_7,test,0.1542063094277921,0.8121212121212121,0.8102042944227463,0.7717996289424862,0.2450634374539724,0.46835443037974683,0.17647058823529413
seed_7,external,1.3029923328646797,0.6875,0.6425544481358435,0.7105978260869564,0.29629021288809027,0.5925925925925926,0.35294117647058826
